Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_IDR,HDD,SSD,Flash Storage,Hybrid,Memory_2,Touchscreen,IPS,TypeResolution,x_res,y_res
1,4,13.3,65,8,128,58,8,1.37,22774730.0,0,1,0,0,0,0,1,0,2560,1600
1,4,13.3,63,8,128,51,8,1.34,15281980.0,0,0,1,0,0,0,0,0,1440,900
7,3,15.6,74,8,256,53,4,1.86,9775000.0,0,1,0,0,0,0,0,1,1920,1080
1,4,15.4,85,16,512,9,8,1.83,43136650.0,0,1,0,0,0,0,1,0,2880,1800
1,4,13.3,67,8,256,59,8,1.37,30661200.0,0,1,0,0,0,0,1,0,2560,1600
0,3,15.6,14,4,500,17,5,2.1,6800000.0,1,0,0,0,0,0,0,0,1366,768
1,4,15.4,84,16,256,60,3,2.04,36379490.0,0,0,1,0,0,0,1,0,2880,1800
1,4,13.3,63,8,256,51,8,1.34,19697900.0,0,0,1,0,0,0,0,0,1440,900
2,4,14.0,106,16,512,98,5,1.3,25415000.0,0,1,0,0,0,0,0,1,1920,1080
0,4,14.0,83,8,256,61,5,1.6,13090000.0,0,1,0,0,0,0,1,1,1920,1080
7,3,15.6,74,4,500,53,4,1.86,6696300.0,1,0,0,0,0,0,0,0,1366,768
7,3,15.6,56,4,500,47,4,1.86,5864830.0,1,0,0,0,0,0,0,1,1920,1080
1,4,15.4,86,16,256,10,8,1.83,41479490.0,0,1,0,0,0,0,1,0,2880,1800
4,3,15.6,56,4,256,24,5,2.2,8481300.0,0,1,0,0,0,0,0,1,1920,1080
1,4,12.0,51,8,256,52,8,0.92,21460800.0,0,1,0,0,0,0,1,0,2304,1440
1,4,13.3,65,8,256,58,8,1.37,25815350.0,0,1,0,0,0,0,1,0,2560,1600
4,3,15.6,97,8,256,24,5,2.2,12665000.0,0,1,0,0,0,0,0,1,1920,1080
1,4,15.4,87,16,512,11,8,1.83,48586000.0,0,1,0,0,0,0,1,0,2880,1800
