laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_IDR,HDD,SSD,Flash Storage,Hybrid,Memory_2,Touchscreen,IPS,TypeResolution,x_res,y_res
1,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5 2.3GHz,8,128,Intel Iris Plus Graphics 640,macOS,1.37,22774730.0,0,1,0,0,0,0,1,0,2560,1600
2,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128,Intel HD Graphics 6000,macOS,1.34,15281980.0,0,0,1,0,0,0,0,0,1440,900
3,HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,1.86,9775000.0,0,1,0,0,0,0,0,1,1920,1080
4,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7 2.7GHz,16,512,AMD Radeon Pro 455,macOS,1.83,43136650.0,0,1,0,0,0,0,1,0,2880,1800
5,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5 3.1GHz,8,256,Intel Iris Plus Graphics 650,macOS,1.37,30661200.0,0,1,0,0,0,0,1,0,2560,1600
6,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500,AMD Radeon R5,Windows 10,2.1,6800000.0,1,0,0,0,0,0,0,0,1366,768
7,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7 2.2GHz,16,256,Intel Iris Pro Graphics,Mac OS X,2.04,36379490.0,0,0,1,0,0,0,1,0,2880,1800
8,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,256,Intel HD Graphics 6000,macOS,1.34,19697900.0,0,0,1,0,0,0,0,0,1440,900
9,Asus,ZenBook UX430UN,Ultrabook,14.0,1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce MX150,Windows 10,1.3,25415000.0,0,1,0,0,0,0,0,1,1920,1080
10,Acer,Swift 3,Ultrabook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.6,13090000.0,0,1,0,0,0,0,1,1,1920,1080
